name,url,category,price,colors,sizes,reviews,reviews_count,rating,images
Epic Crossbody,https://www.dagnedover.com/collections/epic-crossbody,Collection: epic-crossbody,$109.00,"Dot Print,Onyx,Silver Puff,Ash Blue,Graphite,Bleecker Blush",,,,,//cdn.shopify.com/s/files/1/0260/1439/products/Signature-Epic-Onyx-1372_copy_copy_medium.jpg?v=1627305108
Tavi Cooler,https://www.dagnedover.com/collections/tavi-cooler,Collection: tavi-cooler,$75.00,"Skyway,Heather Grey,Onyx",,,,,//cdn.shopify.com/s/files/1/0260/1439/products/Eco-Tavi_Cooler-Onyx-0225_medium.jpg?v=1627404020
Hunter Toiletry Bag,https://www.dagnedover.com/collections/the-hunter-toiletry-bag,Collection: the-hunter-toiletry-bag,$40.00,"Dark Moss,Heather Grey,Dune,Leopard Print,Storm,Onyx,Evergreen,Ochre","L,S",,,,//cdn.shopify.com/s/files/1/0260/1439/products/365-Hunter-Onyx-S-0146_medium.jpg?v=1630557853
Signature Tote,https://www.dagnedover.com/collections/legend-tote,Collection: legend-tote,$159.00,"Onyx,Bleecker Blush,Lime,Pickle,Ash Blue,Graphite","Classic,Legend",,,,//cdn.shopify.com/s/files/1/0260/1439/products/Legend_onyx_front_medium.jpg?v=1626807778
Ace Fanny Pack,https://www.dagnedover.com/collections/ace-fanny-pack,Collection: ace-fanny-pack,$90.00,"Dark Moss,Heather Grey,Dune,Leopard Print,Storm,Onyx,Evergreen,Ochre",,,,,//cdn.shopify.com/s/files/1/0260/1439/products/365-Ace_Fanny-Onyx-0306_medium.jpg?v=1630547499
Indi Diaper Backpack,https://www.dagnedover.com/collections/indi-diaper-backpack,Collection: indi-diaper-backpack,$160.00,"Dark Moss,Heather Grey,Dune,Storm,Onyx,Evergreen,Ochre","M,L,S",,,,//cdn.shopify.com/s/files/1/0260/1439/products/Baby-Indi-Onyx-S-0104_medium.jpg?v=1630561326
Vida Cotton Tote Bag,https://www.dagnedover.com/collections/vida-tote,Collection: vida-tote,$145.00,"Ochre,Natural,Denim,Onyx","L,S",,,,//cdn.shopify.com/s/files/1/0260/1439/products/Eco-Vida_Tote-Onyx-Small-0178_medium.jpg?v=1626457406
Skye Essentials Pouch,https://www.dagnedover.com/collections/skye-essentials-pouch,Collection: skye-essentials-pouch,$35.00,"Natural,Denim,Heather Grey,Onyx,Ochre","Organic Cotton,Neoprene",,,,//cdn.shopify.com/s/files/1/0260/1439/products/Eco-Skye-_Neoprene_Essentials_Pouch-Onyx-0030_medium.jpg?v=1627335050
Nova Sling Bag,https://www.dagnedover.com/collections/nova-sling-bag,Collection: nova-sling-bag,$145.00,"Evergreen,Moonbeam,Rosewood,Onyx",,,,,//cdn.shopify.com/s/files/1/0260/1439/products/COVID_Capsule-Nova-Onyx-Front_medium.jpg?v=1627067517
Landon Carryall Bag,https://www.dagnedover.com/collections/the-landon-carryall,Collection: the-landon-carryall,$110.00,"Dark Moss,Heather Grey,Dune,Storm,Onyx,Evergreen,Ochre","L,S,M,XS,XL",,,,//cdn.shopify.com/s/files/1/0260/1439/products/365-Landon-Onyx-XS-0581_medium.jpg?v=1630631568
